latitude,longitude,PM25_ugm3,NO2_ppb,O3_ppb
40.72898849876472,-74.2336915860713,15.9,19.9,26.4
40.72829179890265,-73.90992904926766,34.0,41.6,46.3
40.711663744875864,-74.05390940260956,36.2,45.9,41.9
40.72575750019457,-73.84592946688234,26.4,27.3,45.7
40.58217017864441,-73.81536489206283,11.9,12.7,36.2
40.82020726724793,-74.22627905594068,14.8,11.6,24.2
40.95757171757675,-74.08706008330965,12.5,12.6,23.1
40.94003229059016,-73.98491407911611,12.1,14.4,24.9
40.557482244439484,-74.24888717848499,12.3,13.2,20.7
40.5758276405999,-74.15257866255274,12.1,13.4,23.2
40.9500231234292,-74.17270522613342,12.0,12.5,22.4
40.59620493014348,-73.9120338898067,22.4,24.7,42.3
40.6827215791554,-74.13782266391449,26.8,31.0,28.4
40.906782483329636,-73.91228021985032,13.1,13.6,28.1
40.63596904516981,-74.02873327539851,28.2,34.7,38.8
40.58585780087589,-73.80365172837519,14.1,14.0,38.2
40.669417710560026,-73.90614596387076,32.5,31.5,41.5
40.66087798714705,-73.93899435936166,34.0,35.7,45.7
40.488650414682894,-74.17876285858252,10.5,14.7,21.4
40.83765248419887,-73.93824344475004,23.6,22.1,38.9
40.640959991789586,-73.77960544573126,15.3,20.6,39.4
40.85868213497123,-73.76828112065758,10.1,16.6,36.1
40.856877119044626,-74.18082857903386,14.3,18.4,23.6
40.654409633625455,-73.91818568240012,31.8,31.3,44.5
40.54586207711032,-74.198335904975,8.3,15.1,21.8
40.864380085711694,-73.92825610313173,20.7,24.5,36.8
40.69868850003511,-73.79196629767999,21.1,19.5,41.6
40.63848054095089,-73.83795330275395,22.5,24.2,43.5
40.9447007828606,-74.1041863087635,10.9,14.7,23.2
40.895386289761674,-74.12816605021419,11.5,17.7,28.2
40.742225644042506,-74.06779547962883,34.7,38.1,33.2
40.558933802629014,-73.77399733987264,10.3,14.0,29.9
40.776748629661185,-74.14917404774026,22.6,24.5,27.8
40.49647718157263,-73.84567264418382,12.5,15.9,27.0
40.92537441559943,-74.07310369068449,13.5,11.2,26.4
40.48250757125434,-73.94441933147795,9.9,10.9,25.0
40.59100542939152,-74.24979076805491,11.6,15.9,20.7
40.61913645697982,-74.1509920769805,17.2,24.2,28.0
40.471588258788515,-74.18804261070203,9.1,12.7,18.3
40.52007469233911,-74.02194179606468,13.3,17.9,30.6
40.47913003929574,-74.24816304396546,10.1,13.3,19.5
40.70065709919723,-74.09508509113714,30.0,36.5,32.0
40.79726436314018,-73.85976176572832,24.4,28.6,41.1
40.59394108313071,-73.97897398531236,20.6,21.3,36.4
40.705656412031665,-73.81191811104543,19.8,23.5,42.4
40.909568630909604,-73.97210589701915,16.8,17.8,27.7
40.55085507303221,-73.78875496016333,10.7,15.3,36.2
40.62920779682444,-74.13464428111101,18.6,19.1,26.4
40.90475635528455,-73.94226529328206,13.4,15.7,29.8
40.48902400383878,-73.78178899743641,11.8,14.7,26.0
40.46947552262308,-73.97255585718658,12.0,17.7,31.5
40.76214979147441,-73.81013452934185,19.6,17.6,44.4
40.52159388566855,-74.22971240344357,7.7,11.3,23.5
40.89511025728479,-74.25023215631722,12.0,12.0,16.7
40.76122408895734,-74.25132776942674,13.6,22.1,26.2
40.81460291717117,-73.99360767098032,29.3,38.2,35.2
40.65904615678523,-74.14018543828325,20.7,24.4,28.2
40.62098656548574,-73.9488827002893,24.9,27.3,41.5
40.57334992319419,-74.05976294994738,18.4,20.2,30.2
40.767544774379104,-73.98026393545297,37.3,42.4,40.1
40.63721812886737,-73.78199940426407,13.1,18.8,36.8
40.812239174307656,-74.04574002808077,27.2,35.8,34.2
40.74890623743292,-73.92205151807558,34.8,39.7,45.7
40.631599327055184,-74.20689431663618,12.5,17.3,23.7
40.87468429499629,-73.81239072382795,13.0,12.0,31.4
40.75217810399129,-73.7711373005565,14.0,22.1,40.4
40.543119157123016,-74.1311006229693,10.9,15.4,26.8
40.74615810986882,-74.17101393298844,22.0,19.4,28.1
40.54782378728196,-73.92864012461048,15.6,13.7,34.1
40.465753094545306,-73.86075795245983,8.7,12.4,29.4
40.641528063372164,-74.15936928533668,18.0,17.4,28.5
40.498716012347316,-74.11568590319641,10.0,9.3,26.2
40.59094208646193,-74.15488044893947,14.7,17.2,24.9
40.92041325881366,-73.88966294581975,13.0,18.7,29.1
40.861143366604594,-73.96386055477207,22.2,23.4,35.2
40.72919837876027,-73.76973275273804,16.7,17.4,43.5
40.667187066035105,-73.85691431978398,27.3,31.3,45.2
40.77190614702011,-74.14167977682153,26.0,26.9,29.0
40.95801344987955,-74.02495781230529,11.9,13.0,21.6
40.65009444514824,-73.98623945608215,30.9,32.7,40.0
40.60041217684004,-74.10380403024799,15.8,24.2,31.6
40.86028826165697,-74.18271509738243,13.4,14.6,22.2
40.69958002864236,-73.87625444296613,31.6,32.2,45.0
40.820295941067165,-74.07343625433938,26.8,23.1,31.3
40.873195788120064,-73.78518764898739,11.6,14.5,31.4
40.929103186036365,-74.0912077129447,12.5,16.5,23.8
40.77764291830144,-74.23908737608141,17.0,12.5,22.5
40.55529537529747,-73.90395647855809,13.2,12.6,34.6
40.90511760909021,-74.18673448593358,12.7,11.7,22.1
40.788689526320816,-74.2048584977102,17.8,20.7,24.5
40.90890407614533,-73.8163455373007,10.1,18.3,29.2
40.83540050749436,-73.77621823352023,13.5,14.2,36.9
40.893688774077056,-73.79077741801305,12.3,16.6,30.2
40.56961518749634,-74.20329398344953,10.8,14.9,22.6
40.588957046050346,-73.8555056853379,18.4,20.3,37.8
40.64580507537156,-73.95834197200224,30.4,32.2,44.3
40.610850440917865,-73.79375245269979,15.9,15.1,37.1
40.66228176391722,-73.79049197589187,17.9,19.1,41.2
40.51565513733202,-74.04989432983704,13.6,13.7,26.8
40.807627383067825,-74.16361243080208,20.1,18.8,26.3
40.86524421518819,-74.04942445250109,20.2,21.6,27.9
40.92664236035068,-74.02885337093703,15.2,16.9,25.4
40.5378411406093,-74.03598263431985,13.5,18.3,28.5
40.55572305351848,-74.07701104594156,14.8,15.9,27.5
40.60501573505944,-73.88423550236307,22.9,19.4,40.0
40.781579730901925,-74.05693085234176,32.1,36.7,34.7
40.848215914088485,-74.17579373869444,17.1,19.8,21.9
40.90422995389666,-73.82839072897781,14.8,16.3,29.7
40.88856999189009,-74.09497452120642,15.2,17.8,26.6
40.619164918578655,-74.0909916059776,19.4,23.0,31.5
40.72794691192324,-73.79203533023826,18.7,19.9,44.2
40.52063433621764,-74.20541454858625,6.8,15.3,22.6
40.60001274190421,-74.08171499058844,20.2,23.7,33.2
40.7975020273263,-73.76662758143836,14.1,14.8,37.8
40.63179614416584,-73.8978658555706,24.0,24.6,42.5
40.593036112438,-73.97168055110431,22.9,23.5,41.2
40.56057454406189,-74.14872371400467,13.1,16.6,26.8
40.5563274282972,-74.2458586889109,8.5,10.9,20.0
40.51124999112421,-74.00982386086623,12.2,16.8,27.3
40.663327926382564,-74.20289497600956,15.9,19.6,25.2
40.58890997188755,-74.22773443319791,13.3,16.2,21.2
40.62586537751316,-73.98402625121707,28.5,27.1,35.8
40.53899978851473,-73.96774744253204,13.4,16.5,31.9
40.588007291260965,-73.97707215004456,20.6,26.5,35.3
40.95515977213325,-73.94337002323792,13.5,15.3,26.4
40.780109247491225,-73.95411379241713,33.7,40.3,42.4
40.499089025336005,-74.11469971811141,10.1,11.3,27.5
40.515892334120856,-73.95441175662428,12.9,15.2,30.6
40.82422233711684,-74.11793610806686,19.1,25.1,25.5
40.851908308918986,-74.21411744244308,12.3,14.7,23.6
40.68898001864734,-73.83725127763483,22.1,26.1,47.7
40.58119040095014,-73.9991590778933,19.3,22.6,36.9
40.901878721083506,-73.96385121630117,17.7,16.1,25.4
40.70795678963739,-74.01408086960767,38.4,46.8,39.9
40.796897819657744,-73.76981937393214,14.6,16.2,38.6
40.80516060754678,-74.02973597352552,30.3,35.7,34.7
40.61230590493172,-73.96837737660229,24.6,29.2,42.5
40.65153064693618,-73.92948751630708,31.3,35.7,43.3
40.48098323058561,-74.06247704963793,9.9,15.5,26.4
40.618042264712074,-74.21978086122081,13.0,20.0,23.1
40.606195446363145,-74.08086053561678,21.0,28.2,33.4
40.64230865164213,-74.00496562109049,29.8,34.7,43.3
40.87421848645651,-74.24063164210081,12.0,16.3,20.8
40.86303443347323,-74.04090665950785,21.4,23.7,32.0
40.47007941654327,-73.78754408727141,11.0,16.1,24.1
40.863210451979825,-74.10645737929057,18.7,21.4,28.5
40.609849635448,-73.96363669483004,23.0,31.3,39.8
40.618088106158375,-73.96285794622601,24.4,29.4,41.8
40.835970662972336,-73.80494193132905,17.9,21.4,39.6
40.58756087358119,-74.20207355490847,10.1,10.3,23.2
40.88284816010679,-74.16759238547282,12.0,16.1,26.3
40.52854753012734,-73.89280619796422,12.8,15.5,31.8
40.73360812084562,-73.84075731720168,25.5,27.2,46.6
40.63860429430326,-74.10695298713208,25.1,24.3,31.3
40.851120580794884,-73.87138809176783,19.0,20.4,35.7
40.84861577380131,-74.21947777115906,12.1,13.1,21.4
40.863715562816104,-74.1240363109853,17.2,18.2,31.0
40.84218823960001,-74.19189906924443,14.4,18.9,23.6
